wha,T1,itdt,T2,TCSapp,F1,T4,T3,F2,FWSapp,Unit,costHX,areaHX,Hxweight,CO2_Footprint
1,20,10,30,2,1503.6,18,28,1435.2,2,HX4X-67,"17,616",173.53,"1,139",3000
1,20,10,30,3,1503.6,17,27,1434.6,3,HX4X-67,"14,176",128.3,"1,005",3000
1,20,10,30,5,1503.6,15,25,1433.4,5,HX4X-P67,"10,757",84,887,3000
1,20,12,32,2,1253.4,18,30,1196.4,2,HX4X-67,"18,108",179.99,"1,158",3000
1,20,12,32,3,1253.4,17,29,1195.8,3,HX4X-67,"13,884",124.61,968,3000
1,20,12,32,5,1253.4,15,27,1194.6,5,HX4X-P67,"10,757",84,886,3000
1,20,14,34,2,1074.6,18,32,1026,2,HX4X-67,"18,810",189.22,"1,186",3000
1,20,14,34,3,1074.6,17,31,1025.4,3,HX4X-67,"13,191",117.23,941,3000
1,20,14,34,5,1074.6,15,29,1024.2,5,HX4X-67,"10,031",75.69,818,3000
1,30,10,40,2,1501.8,28,38,1442.4,2,HX4X-67,"16,703",161.53,"1,103",3000
1,30,10,40,3,1501.8,27,37,1441.8,3,HX4X-67,"12,910",113.53,930,3000
1,30,10,40,5,1501.8,25,35,1440.6,5,HX4X-P67,"9,718",72,840,3000
1,30,12,42,2,1251.6,28,40,1202.4,2,HX4X-67,"16,423",157.84,"1,092",3000
1,30,12,42,3,1251.6,27,39,1201.8,3,HX4X-67,"12,910",113.53,930,3000
1,30,12,42,5,1251.6,25,37,1200.6,5,HX4X-P67,"9,928",74.77,850,3000
1,30,14,44,2,1073.4,28,42,1030.8,2,HX4X-67,"16,423",157.84,"1,092",3000
1,30,14,44,3,1073.4,27,41,1030.2,3,HX4X-67,"12,489",107.99,913,3000
1,30,14,44,5,1073.4,25,39,1029,5,HX4X-P67,"9,788",72.92,843,3000
1,45,10,55,2,1500.6,43,53,1452.6,2,HX4X-67,"15,440",144.92,"1,053",3000
1,45,10,55,3,1500.6,42,52,1452,3,HX4X-67,"11,997",101.53,894,3000
1,45,10,55,5,1500.6,40,50,1450.8,5,HX4X-P67,"9,369",67.38,824,3000
1,45,12,57,2,1251.6,43,55,1210.2,2,HX4X-67,"14,597",133.84,"1,020",3000
1,45,12,57,3,1251.6,42,54,1210.2,3,HX4X-67,"11,787",98.76,885,3000
1,45,12,57,5,1251.6,40,52,1209,5,HX4X-P67,"9,090",63.69,811,3000
1,45,14,59,2,1073.4,43,57,1037.4,2,HX4X-67,"14,737",135.69,"1,026",3000
1,45,14,59,3,1073.4,42,56,1037.4,3,HX4X-67,"11,646",96.92,880,3000
1,45,14,59,5,1073.4,40,54,1036.2,5,HX4X-P67,"9,230",65.54,817,3000
2,20,10,30,2,3006.6,18,28,2871,2,HX6Z-B67,"32,853",441.936,"2,374",3000
2,20,10,30,3,3006.6,17,27,2869.2,3,HX6Z-B67,"22,439",274.29,"1,803",3000
2,20,10,30,5,3006.6,15,25,2866.8,5,HX6Z-B67,"15,846",168.51,"1,440",3000
